UID         PID   PPID  C STIME TTY          TIME CMD
root      19163      2  0 14:58 ?        00:00:00 [kworker/2:0]
root      26623      2  0 16:20 ?        00:00:00 [kworker/6:0]
root      31261      2  0 17:10 ?        00:00:00 [kworker/9:1]
root      32056      2  0 5月04 ?       00:00:03 [kworker/15:0]
root      32061      2  0 5月04 ?       00:00:01 [kworker/9:0]
root      35727      2  0 18:00 ?        00:00:00 [kworker/3:1]
root      37466      2  0 18:20 ?        00:00:00 [kworker/11:0]
root      40154      2  0 18:50 ?        00:00:00 [kworker/12:2]
root      44450      2  0 19:40 ?        00:00:00 [kworker/7:2]
root      46166      2  0 20:00 ?        00:00:00 [kworker/5:2]
postfix   50076   1587  0 20:44 ?        00:00:00 pickup -l -t unix -u
root      52993 230682  0 21:18 ?        00:00:00 sshd: root@pts/0,pts/1
root      53056  52993  0 21:18 pts/0    00:00:00 -bash
root      55004      2  0 21:40 ?        00:00:00 [kworker/1:1]
root      55651  52993  0 21:48 pts/1    00:00:00 -bash
root      55939      2  0 21:51 ?        00:00:00 [kworker/1:2]
root      56478      2  0 21:56 ?        00:00:00 [kworker/1:0]
root      57048  55651  0 22:03 pts/1    00:00:00 ps -ef
root      57672      1  1  2022 ?        4-13:13:00 /titan/agent/titanagent -d -b /etc/titanagent
root      72061      2  0 5月04 ?       00:00:01 [kworker/14:0]
root      78267      1  2  2022 ?        10-00:37:22 /data/solution/smartgate/bin/smartgate
root      78279  78267  0  2022 ?        00:16:29 /data/solution/smartgate/bin/smartgate service
root      78284  78267  0  2022 ?        05:20:40 /data/solution/smartgate/bin/smartgate service
root      78289  78267  2  2022 ?        6-21:54:28 /data/solution/smartgate/bin/smartgate service
root      78296  78267  2  2022 ?        6-20:53:47 /data/solution/smartgate/bin/smartgate service
root      78303  78267  1  2022 ?        6-18:48:16 /data/solution/smartgate/bin/smartgate service
root      78309  78267  1  2022 ?        6-14:08:20 /data/solution/smartgate/bin/smartgate service
root      78315  78267  1  2022 ?        6-15:28:25 /data/solution/smartgate/bin/smartgate service
root      78321  78267  1  2022 ?        6-18:54:28 /data/solution/smartgate/bin/smartgate service
root      78327  78267  2  2022 ?        6-19:53:07 /data/solution/smartgate/bin/smartgate service
root      78333  78267  2  2022 ?        6-19:55:24 /data/solution/smartgate/bin/smartgate service
root      78339  78267  1  2022 ?        6-13:26:50 /data/solution/smartgate/bin/smartgate service
root      78345  78267  1  2022 ?        6-17:57:01 /data/solution/smartgate/bin/smartgate service
root      78347  78267  2  2022 ?        7-00:32:49 /data/solution/smartgate/bin/smartgate service
root      78353  78267  1  2022 ?        6-12:36:56 /data/solution/smartgate/bin/smartgate service
root      78357  78267  1  2022 ?        6-15:31:25 /data/solution/smartgate/bin/smartgate service
root      78365  78267  1  2022 ?        6-16:20:51 /data/solution/smartgate/bin/smartgate service
root      78375  78267  1  2022 ?        6-17:52:20 /data/solution/smartgate/bin/smartgate service
root      80198      2  0 4月28 ?       00:00:08 [kworker/7:0]
root      91960      2  0 5月05 ?       00:00:01 [kworker/6:1]
root     111473      2  0 4月04 ?       00:01:02 [kworker/0:2]
root     112146      2  0 5月05 ?       00:00:02 [kworker/10:2]
root     122015      2  0  2022 ?        00:02:58 [kworker/u508:1]
root     128807      2  0 5月05 ?       00:00:01 [kworker/3:0]
root     136102      2  0 5月03 ?       00:00:20 [kworker/2:1]
root     154807      2  0 5月05 ?       00:00:00 [kworker/8:0]
root     167228      2  0 4月29 ?       00:00:08 [kworker/4:1]
root     175176      2  0 5月01 ?       00:00:03 [kworker/12:0]
root     178119      2  0 1月31 ?       00:11:26 [kworker/0:1]
root     178598      2  0 5月03 ?       00:00:02 [kworker/8:2]
root     182113      2  0 4月19 ?       00:00:00 [kworker/0:3]
root     192111      2  0 5月05 ?       00:00:00 [kworker/14:1]
root     199564      1  0  2022 ?        00:00:00 /usr/sbin/xinetd -stayalive -pidfile /var/run/xinetd.pid
root     205985      2  0 01:00 ?        00:00:00 [kworker/5:1]
root     209088      1  0  2022 ?        00:00:48 /usr/sbin/crond -n
root     230682      1  0  2022 ?        00:00:00 sshd: /usr/sbin/sshd [listener] 0 of 10-100 startups
root     236782      2  0 06:54 ?        00:00:00 [kworker/13:2]
root     249479      2  0 09:20 ?        00:00:00 [kworker/10:1]
root     251207      2  0 09:40 ?        00:00:00 [kworker/15:2]
